label,role,measured_norm,iv_old_lo,iv_old_hi,iv_old_width,iv_new_lo,iv_new_hi,iv_new_width,binding_lo,binding_hi,a_oracle,a_lin,active_bound,dT_over_da
test_3,phase13-test,0.1000,0.0,2.669383095573337,2.669383095573337,-0.6579847952800146,2.669383095573337,3.3273678908533517,H,H2,-0.00019219374079336898,-7.829714580366856e-06,,-57.025496584678066
test_4,phase13-test,0.1000,0.0,2.672508046801015,2.672508046801015,-0.6585018833411387,2.672508046801015,3.331009930142154,H,H2,7.480170165509105e-05,3.0473069831165014e-06,,-57.02566786847058
test_5,phase13-test,0.1000,0.0,2.6728930360909127,2.6728930360909127,-0.6593715791468079,2.6728930360909127,3.3322646152377207,H,H2,4.981445932038433e-05,2.029355465411099e-06,,-57.02581734112921
test_6,phase13-test,0.3000,0.0,2.65493192233511,2.65493192233511,-0.6548069805062559,2.65493192233511,3.309738902841366,H,H2,-0.00037765520192760155,-1.538553940103364e-05,,-57.02458368792616
test_7,phase13-test,0.3000,0.0,2.6594342471605983,2.6594342471605983,-0.6563639895705814,2.6594342471605983,3.3157982367311796,H,H2,0.0005536304293744077,2.2554476750601868e-05,,-57.02495788300744
test_8,phase13-test,0.3000,0.0,2.6617791692807278,2.6617791692807278,-0.6549674238180767,2.6617791692807278,3.3167465930988045,H,H2,-0.0005420529369655058,-2.208290757363417e-05,,-57.02481055712662
test_9,phase13-test,0.3000,0.0,2.681012284621113,2.681012284621113,-0.6599754972694896,2.681012284621113,3.340987781890602,H,H2,-0.000620634742572594,-2.5283390115077553e-05,,-57.026146079162054
test_10,phase13-test,0.3000,0.0,2.6488421425544106,2.6488421425544106,-0.6526915006535056,2.6488421425544106,3.3015336432079163,H,H2,-0.00025319033852130385,-1.0315018724051764e-05,,-57.02408134546335
test_11,phase13-test,0.6000,0.0,2.676407759700441,2.676407759700441,-0.6605328421074826,2.676407759700441,3.3369406018079237,H,H2,0.00133911028342072,5.455269605581437e-05,,-57.02610363273156
test_12,phase13-test,0.6000,0.0,2.716258768362772,2.716258768362772,-0.6727305538115145,2.716258768362772,3.3889893221742864,H,OH,-0.0014944280250632307,-6.0873037652501734e-05,,-57.0304245537223
test_13,phase13-test,0.6000,0.0,2.644930206431558,2.644930206431558,-0.6517066737907378,2.644930206431558,3.296636880222296,H,H2,0.000193771253064645,7.894332397693125e-06,,-57.023817454450615
test_14,phase13-test,0.6000,0.0,2.627549450485407,2.627549450485407,-0.6480092480768271,2.627549450485407,3.275558698562234,H,H2,-0.0003758812098492943,-1.5314008242590454e-05,,-57.022750726329996
test_15,phase13-test,0.6000,0.0,2.722682863944759,2.722682863944759,-0.6742971857155077,2.722682863944759,3.3969800496602667,H,H2,0.0009492919975554673,3.866861757603653e-05,,-57.029675874553305
