label,kind,requested_label_radius,measured_time_norm,measured_euclidean_norm,dt_s,success,future_dT_K,future_max_dY,increment_dT_K,increment_max_dY,scaled_future,scaled_increment,gain_future,gain_increment,gain_T,gain_Y,gain_denominator_status
heldout_0,held_out,0.1,0.10000000000000003,0.17320508075688779,1e-07,True,0.009369901916670642,1.9913936302740076e-07,0.002043104678250529,1.0865477910182442e-06,9.750689469228972e-05,0.00014623690792366095,0.6815151018390037,1.022108862257671,1.278853721723994,0.1620471689655891,resolved
heldout_0,held_out,0.1,0.10000000000000003,0.17320508075688779,1e-06,True,0.009758404787135078,6.239529434792779e-07,0.0024316075487149647,1.5113613714701213e-06,0.00012082983722811118,0.00019054557405693523,0.8445285749646376,1.3318000405837165,1.3318786462336025,0.5077339131824526,resolved
heldout_0,held_out,0.1,0.10000000000000003,0.17320508075688779,1e-05,True,0.008401708038945799,6.060933312734829e-07,0.0010749108005256858,1.4935017592643263e-06,0.0001093350746598048,0.0001819157740864254,0.7641870328913677,1.2714828801991873,1.1467095056062273,0.49320087685666025,resolved
heldout_0,held_out,0.1,0.10000000000000003,0.17320508075688779,0.0001,True,0.002126237420270627,1.5483941764871112e-07,0.005200559818149486,1.0422478456395545e-06,2.7777219056498298e-05,0.0001464755422144668,0.19414621226359977,1.0237767737783288,0.2902001176067908,0.12599864181950632,resolved
heldout_1,held_out,0.3,0.3,0.5196152422706631,1e-07,True,0.0022658105121990957,4.8663858054354137e-08,0.000501254547998542,2.6668806041296733e-07,2.354986215944071e-05,3.5844142713399886e-05,0.6723498968263819,1.0233523021077788,1.2840683765026628,0.16083654355950106,resolved
heldout_1,held_out,0.3,0.3,0.5196152422706631,1e-06,True,0.002362289153097663,1.5208034545577398e-07,0.0005977331888971094,3.701045478143872e-07,2.9311092792548877e-05,4.668864856614413e-05,0.8368333573043204,1.3329635576582806,1.3387442512586543,0.502633331683677,resolved
heldout_1,held_out,0.3,0.3,0.5196152422706631,1e-05,True,0.0020333947850303957,1.470586362128934e-07,0.000268838820829842,3.650828385715066e-07,2.6488725134721706e-05,4.452754892907409e-05,0.7562546010169723,1.2712640407703193,1.1523549415740075,0.48603632541089864,resolved
heldout_1,held_out,0.3,0.3,0.5196152422706631,0.0001,True,0.0005129309215590183,3.7377235945212917e-08,0.0012516250426415354,2.554014383038261e-07,6.7027237262276055e-06,3.588202124054617e-05,0.19136314154510958,1.0244337362005271,0.2906855503398022,0.1235336793585379,resolved
heldout_2,held_out,0.6,0.6,1.0392304845413265,1e-07,True,0.06557610610570919,1.3736960431109946e-06,0.015517118263232987,8.206582041647703e-06,0.0006771845355141096,0.0011085683882497124,0.6192196756232188,1.0136784314736302,1.309976668167197,0.1412813334253454,resolved
heldout_2,held_out,0.6,0.6,1.0392304845413265,1e-06,True,0.06881224055223356,4.4676475790816905e-06,0.018753252709757362,1.1300533577618399e-05,0.0008555786942697094,0.001444090386873658,0.7823438571786286,1.3204808055039874,1.3746230900386842,0.45948680598781994,resolved
