case,measured_time_norm,reference_used,dt_s,future_dT_K,future_max_abs_dY,increment_dT_K,increment_max_abs_dY,E_max_T1_Y1e-3,E_max_T1_Y1e-4,E_max_T10_Y1e-3,enthalpy_mismatch_J_kg,elemental_mismatch_max
test_4,0.10000000000000005,predicted_corrected,0.0001,0.0005247212584436056,3.821205815657258e-08,-0.0013629574759761454,2.2682432673781783e-07,0.0005247212584436056,0.0005247212584436056,5.247212584436056e-05,2.3981556296348572e-08,5.551115123125783e-16
test_4,0.10000000000000005,oracle_canonical,1e-07,-0.00561090874225556,1.1920918913110867e-07,-0.0012294391208342859,6.53564517227867e-07,0.00561090874225556,0.00561090874225556,0.0005610908742255561,3.259629011154175e-09,3.3306690738754696e-16
test_4,0.10000000000000005,oracle_canonical,1e-06,-0.005846101854785957,3.741261418721553e-07,-0.0014646322333646822,9.084814699689137e-07,0.005846101854785957,0.005846101854785957,0.0005846101854785956,5.820766091346741e-09,3.3306690738754696e-16
test_4,0.10000000000000005,oracle_canonical,1e-05,-0.005033704206198308,3.6313426407530436e-07,-0.0006522345847770339,8.974895921720627e-07,0.005033704206198308,0.005033704206198308,0.0005033704206198308,3.259629011154175e-09,3.3306690738754696e-16
test_4,0.10000000000000005,oracle_canonical,0.0001,-0.001273861424124334,9.276707621519442e-08,0.0031076081972969405,6.271224043119528e-07,0.001273861424124334,0.001273861424124334,0.0001273861424124334,2.3981556296348572e-08,3.3306690738754696e-16
test_5,0.10000000000000003,predicted_canonical,1e-07,-0.004049350407512975,1.6658117433024366e-07,-0.0008282674598376616,4.505453708447682e-07,0.004049350407512975,0.004049350407512975,0.0004049350407512975,1.3969838619232178e-09,3.0531133177191805e-16
test_5,0.10000000000000003,predicted_canonical,1e-06,-0.004153018157921906,2.4043448051958016e-07,-0.0009319352102465928,6.550291106466322e-07,0.004153018157921906,0.004153018157921906,0.0004153018157921906,1.1641532182693481e-09,3.0531133177191805e-16
test_5,0.10000000000000003,predicted_canonical,1e-05,-0.003540774433986371,2.553671764327081e-07,-0.0003196914863110578,6.699618065597601e-07,0.003540774433986371,0.003540774433986371,0.0003540774433986371,3.026798367500305e-09,3.0531133177191805e-16
test_5,0.10000000000000003,predicted_canonical,0.0001,-0.0008963231339293998,6.526941931372932e-08,0.0023247598137459136,4.798640494407813e-07,0.0008963231339293998,0.0008963231339293998,8.963231339293997e-05,2.444721758365631e-08,3.0531133177191805e-16
test_5,0.10000000000000003,predicted_corrected,1e-07,0.00138134559529135,1.4942344812862718e-07,0.00038553220701942337,1.9383742613787724e-07,0.00138134559529135,0.0014942344812862718,0.00014942344812862718,1.862645149230957e-09,4.440892098500626e-16
test_5,0.10000000000000003,predicted_corrected,1e-06,0.0015156443510022655,1.2364624946137326e-07,0.0005198309627303388,2.5672274356000613e-07,0.0015156443510022655,0.0015156443510022655,0.00015156443510022655,9.313225746154785e-10,4.440892098500626e-16
test_5,0.10000000000000003,predicted_corrected,1e-05,0.001342503331215994,9.683079144062745e-08,0.0003466899429440673,2.7187043000892475e-07,0.001342503331215994,0.001342503331215994,0.0001342503331215994,1.1641532182693481e-09,4.440892098500626e-16
test_5,0.10000000000000003,predicted_corrected,0.0001,0.0003398494295652199,2.474753826864351e-08,-0.0006559639587067068,2.5548450253640165e-07,0.0003398494295652199,0.0003398494295652199,3.3984942956521993e-05,2.7241185307502747e-08,4.440892098500626e-16
test_5,0.10000000000000003,oracle_canonical,1e-07,-0.003774931866246334,8.008566379502646e-08,-0.0008198919786082115,4.3616975070603914e-07,0.003774931866246334,0.003774931866246334,0.0003774931866246334,1.1641532182693481e-09,2.7755575615628914e-16
test_5,0.10000000000000003,oracle_canonical,1e-06,-0.003930322579890344,2.510509256037352e-07,-0.0009752826922522218,6.071350125147479e-07,0.003930322579890344,0.003930322579890344,0.0003930322579890344,9.313225746154785e-10,2.7755575615628914e-16
test_5,0.10000000000000003,oracle_canonical,1e-05,-0.0033838461322375224,2.440538949821658e-07,-0.0004288062445994001,6.001379818931785e-07,0.0033838461322375224,0.0033838461322375224,0.0003383846132237522,3.4924596548080444e-09,2.7755575615628914e-16
test_5,0.10000000000000003,oracle_canonical,0.0001,-0.0008565998041376588,6.237680191811812e-08,0.0020984400835004635,4.184608888291308e-07,0.0008565998041376588,0.0008565998041376588,8.565998041376588e-05,3.026798367500305e-08,2.7755575615628914e-16
test_6,0.30000000000000004,predicted_canonical,1e-07,0.031356562599739846,1.2735358624789417e-06,0.006299691593540047,3.43205396377555e-06,0.031356562599739846,0.031356562599739846,0.0031356562599739847,2.0954757928848267e-09,6.661338147750939e-16
test_6,0.30000000000000004,predicted_canonical,1e-06,0.032117818684582744,1.8693473128328364e-06,0.007060947678382945,4.9887091017053464e-06,0.032117818684582744,0.032117818684582744,0.0032117818684582744,9.313225746154785e-10,6.661338147750939e-16
